CROP TYPE,SOIL TYPE,REGION,WEATHER CONDITION,WATER REQUIREMENT,temperature_min,temperature_max
BANANA,DRY,DESERT,NORMAL,8.75,10,20
BANANA,DRY,DESERT,SUNNY,10.25,10,20
BANANA,DRY,DESERT,RAINY,0.75,10,20
BANANA,DRY,DESERT,NORMAL,9.85,20,30
BANANA,DRY,DESERT,SUNNY,11.35,20,30
BANANA,DRY,DESERT,RAINY,0.85,20,30
BANANA,DRY,DESERT,NORMAL,10.75,30,40
BANANA,DRY,DESERT,SUNNY,12.25,30,40
BANANA,DRY,DESERT,RAINY,2.75,30,40
BANANA,DRY,DESERT,NORMAL,11.75,40,50
BANANA,DRY,DESERT,SUNNY,13.25,40,50
BANANA,DRY,DESERT,RAINY,3.75,40,50
BANANA,DRY,SEMI ARID,NORMAL,7.98,10,20
BANANA,DRY,SEMI ARID,SUNNY,9.4,10,20
BANANA,DRY,SEMI ARID,RAINY,0.25,10,20
BANANA,DRY,SEMI ARID,NORMAL,8.98,20,30
BANANA,DRY,SEMI ARID,SUNNY,10.4,20,30
BANANA,DRY,SEMI ARID,RAINY,0.98,20,30
BANANA,DRY,SEMI ARID,NORMAL,9.98,30,40
BANANA,DRY,SEMI ARID,SUNNY,11.4,30,40
BANANA,DRY,SEMI ARID,RAINY,1.98,30,40
BANANA,DRY,SEMI ARID,NORMAL,10.9,40,50
BANANA,DRY,SEMI ARID,SUNNY,12.4,40,50
BANANA,DRY,SEMI ARID,RAINY,2.7,40,50
BANANA,DRY,SEMI HUMID,NORMAL,6.95,10,20
BANANA,DRY,SEMI HUMID,SUNNY,8.45,10,20
BANANA,DRY,SEMI HUMID,RAINY,0.1,10,20
BANANA,DRY,SEMI HUMID,NORMAL,7.95,20,30
BANANA,DRY,SEMI HUMID,SUNNY,9.45,20,30
BANANA,DRY,SEMI HUMID,RAINY,0.5,20,30
BANANA,DRY,SEMI HUMID,NORMAL,8.95,30,40
BANANA,DRY,SEMI HUMID,SUNNY,10.45,30,40
BANANA,DRY,SEMI HUMID,RAINY,0.95,30,40
BANANA,DRY,SEMI HUMID,NORMAL,9.9,40,50
BANANA,DRY,SEMI HUMID,SUNNY,11.4,40,50
BANANA,DRY,SEMI HUMID,RAINY,1.9,40,50
BANANA,DRY,HUMID,NORMAL,5.65,10,20
BANANA,DRY,HUMID,SUNNY,7.15,10,20
BANANA,DRY,HUMID,RAINY,0.1,10,20
BANANA,DRY,HUMID,NORMAL,6.6,20,30
BANANA,DRY,HUMID,SUNNY,8.1,20,30
BANANA,DRY,HUMID,RAINY,0.3,20,30
BANANA,DRY,HUMID,NORMAL,7.68,30,40
BANANA,DRY,HUMID,SUNNY,8.18,30,40
BANANA,DRY,HUMID,RAINY,0.8,30,40
BANANA,DRY,HUMID,NORMAL,8.65,40,50
BANANA,DRY,HUMID,SUNNY,10.15,40,50
BANANA,DRY,HUMID,RAINY,0.65,40,50
BANANA,HUMID,DESERT,NORMAL,6.695,10,20
BANANA,HUMID,DESERT,SUNNY,8.2,10,20
BANANA,HUMID,DESERT,RAINY,0.6,10,20
BANANA,HUMID,DESERT,NORMAL,7.695,20,30
BANANA,HUMID,DESERT,SUNNY,9.2,20,30
BANANA,HUMID,DESERT,RAINY,0.8,20,30
BANANA,HUMID,DESERT,NORMAL,8.7,30,40
BANANA,HUMID,DESERT,SUNNY,10.2,30,40
BANANA,HUMID,DESERT,RAINY,0.7,30,40
BANANA,HUMID,DESERT,NORMAL,9.5,40,50
BANANA,HUMID,DESERT,SUNNY,11.0,40,50
BANANA,HUMID,DESERT,RAINY,1.5,40,50
BANANA,HUMID,SEMI ARID,NORMAL,5.92,10,20
BANANA,HUMID,SEMI ARID,SUNNY,7.42,10,20
BANANA,HUMID,SEMI ARID,RAINY,0.1,10,20
BANANA,HUMID,SEMI ARID,NORMAL,6.92,20,30
BANANA,HUMID,SEMI ARID,SUNNY,8.42,20,30
BANANA,HUMID,SEMI ARID,RAINY,0.5,20,30
BANANA,HUMID,SEMI ARID,NORMAL,7.92,30,40
BANANA,HUMID,SEMI ARID,SUNNY,9.42,30,40
BANANA,HUMID,SEMI ARID,RAINY,0.8,30,40
BANANA,HUMID,SEMI ARID,NORMAL,8.92,40,50
BANANA,HUMID,SEMI ARID,SUNNY,10.42,40,50
BANANA,HUMID,SEMI ARID,RAINY,0.92,40,50
BANANA,HUMID,SEMI HUMID,NORMAL,4.89,10,20
BANANA,HUMID,SEMI HUMID,SUNNY,6.39,10,20
BANANA,HUMID,SEMI HUMID,RAINY,0.1,10,20
BANANA,HUMID,SEMI HUMID,NORMAL,5.6,20,30
BANANA,HUMID,SEMI HUMID,SUNNY,7.1,20,30
BANANA,HUMID,SEMI HUMID,RAINY,0.2,20,30
BANANA,HUMID,SEMI HUMID,NORMAL,6.5,30,40
BANANA,HUMID,SEMI HUMID,SUNNY,8.1,30,40
BANANA,HUMID,SEMI HUMID,RAINY,0.5,30,40
BANANA,HUMID,SEMI HUMID,NORMAL,7.5,40,50
BANANA,HUMID,SEMI HUMID,SUNNY,9.0,40,50
BANANA,HUMID,SEMI HUMID,RAINY,0.8,40,50
BANANA,HUMID,HUMID,NORMAL,3.65,10,20
BANANA,HUMID,HUMID,SUNNY,5.15,10,20
BANANA,HUMID,HUMID,RAINY,0.1,10,20
BANANA,HUMID,HUMID,NORMAL,4.65,20,30
BANANA,HUMID,HUMID,SUNNY,6.15,20,30
BANANA,HUMID,HUMID,RAINY,0.2,20,30
BANANA,HUMID,HUMID,NORMAL,5.0,30,40
BANANA,HUMID,HUMID,SUNNY,6.5,30,40
BANANA,HUMID,HUMID,RAINY,0.3,30,40
BANANA,HUMID,HUMID,NORMAL,5.15,40,50
BANANA,HUMID,HUMID,SUNNY,6.65,40,50
BANANA,HUMID,HUMID,RAINY,0.2,40,50
BANANA,WET,DESERT,NORMAL,5.15,10,20
BANANA,WET,DESERT,SUNNY,6.65,10,20
BANANA,WET,DESERT,RAINY,0.2,10,20
BANANA,WET,DESERT,NORMAL,6.15,20,30
BANANA,WET,DESERT,SUNNY,7.65,20,30
BANANA,WET,DESERT,RAINY,0.3,20,30
BANANA,WET,DESERT,NORMAL,7.15,30,40
BANANA,WET,DESERT,SUNNY,8.65,30,40
BANANA,WET,DESERT,RAINY,0.8,30,40
BANANA,WET,DESERT,NORMAL,8.15,40,50
BANANA,WET,DESERT,SUNNY,9.65,40,50
BANANA,WET,DESERT,RAINY,0.15,40,50
BANANA,WET,SEMI ARID,NORMAL,4.37,10,20
BANANA,WET,SEMI ARID,SUNNY,5.87,10,20
BANANA,WET,SEMI ARID,RAINY,0.1,10,20
BANANA,WET,SEMI ARID,NORMAL,5.3,20,30
BANANA,WET,SEMI ARID,SUNNY,6.8,20,30
BANANA,WET,SEMI ARID,RAINY,0.2,20,30
BANANA,WET,SEMI ARID,NORMAL,6.3,30,40
BANANA,WET,SEMI ARID,SUNNY,7.8,30,40
BANANA,WET,SEMI ARID,RAINY,0.3,30,40
BANANA,WET,SEMI ARID,NORMAL,7.2,40,50
BANANA,WET,SEMI ARID,SUNNY,8.7,40,50
BANANA,WET,SEMI ARID,RAINY,0.8,40,50
BANANA,WET,SEMI HUMID,NORMAL,3.345,10,20
BANANA,WET,SEMI HUMID,SUNNY,4.85,10,20
BANANA,WET,SEMI HUMID,RAINY,0.1,10,20
BANANA,WET,SEMI HUMID,NORMAL,4.4,20,30
BANANA,WET,SEMI HUMID,SUNNY,5.9,20,30
BANANA,WET,SEMI HUMID,RAINY,0.1,20,30
BANANA,WET,SEMI HUMID,NORMAL,5.54,30,40
BANANA,WET,SEMI HUMID,SUNNY,7.04,30,40
BANANA,WET,SEMI HUMID,RAINY,0.2,30,40
BANANA,WET,SEMI HUMID,NORMAL,6.52,40,50
BANANA,WET,SEMI HUMID,SUNNY,8.02,40,50
BANANA,WET,SEMI HUMID,RAINY,0.3,40,50
BANANA,WET,HUMID,NORMAL,2.06,10,20
BANANA,WET,HUMID,SUNNY,3.56,10,20
BANANA,WET,HUMID,RAINY,0.1,10,20
BANANA,WET,HUMID,NORMAL,3.0,20,30
BANANA,WET,HUMID,SUNNY,4.5,20,30
BANANA,WET,HUMID,RAINY,0.1,20,30
BANANA,WET,HUMID,NORMAL,4.1,30,40
BANANA,WET,HUMID,SUNNY,5.6,30,40
BANANA,WET,HUMID,RAINY,0.1,30,40
BANANA,WET,HUMID,NORMAL,5.15,40,50
BANANA,WET,HUMID,SUNNY,6.65,40,50
BANANA,WET,HUMID,RAINY,0.2,40,50
SOYABEAN,DRY,DESERT,NORMAL,6.97,10,20
SOYABEAN,DRY,DESERT,SUNNY,8.47,10,20
SOYABEAN,DRY,DESERT,RAINY,0.2,10,20
SOYABEAN,DRY,DESERT,NORMAL,7.9,20,30
SOYABEAN,DRY,DESERT,SUNNY,9.4,20,30
SOYABEAN,DRY,DESERT,RAINY,0.8,20,30
SOYABEAN,DRY,DESERT,NORMAL,8.8,30,40
SOYABEAN,DRY,DESERT,SUNNY,10.3,30,40
SOYABEAN,DRY,DESERT,RAINY,0.8,30,40
SOYABEAN,DRY,DESERT,NORMAL,9.95,40,50
SOYABEAN,DRY,DESERT,SUNNY,11.45,40,50
SOYABEAN,DRY,DESERT,RAINY,1.95,40,50
SOYABEAN,DRY,SEMI ARID,NORMAL,7.98,10,20
SOYABEAN,DRY,SEMI ARID,SUNNY,9.48,10,20
SOYABEAN,DRY,SEMI ARID,RAINY,0.8,10,20
SOYABEAN,DRY,SEMI ARID,NORMAL,8.6,20,30
